=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.03.21 15:17:41 =~=~=~=~=~=~=~=~=~=~=~=
 273 Time: 105362
Distance: 270.69 Time: 16581
Distance: 260.86 Time: 16613
Distance: 257.93 Time: 16644
Distance: 260.86 Time: 16675
Distance: 261.90 Time: 16706
Distance: 260.86 Time: 16738
Distance: 257.59 Time: 16769
Distance: 260.86 Time: 16800
Distance: 261.90 Time: 16831
Distance: 257.24 Time: 16862
Distance: 252.07 Time: 16893
Distance: 253.10 Time: 16924
Distance: 252.07 Time: 16956
Distance: 253.10 Time: 16987
Distance: 256.21 Time: 17018
Distance: 257.07 Time: 17049
Distance: 260.17 Time: 17081
Distance: 256.72 Time: 17112
Distance: 260.17 Time: 17143
Distance: 252.59 Time: 17174
Distance: 251.55 Time: 17206
Distance: 252.59 Time: 17236
Distance: 255.52 Time: 17268
Distance: 252.07 Time: 17299
Distance: 256.21 Time: 17330
Distance: 259.66 Time: 17361
Distance: 256.21 Time: 17392
Distance: 255.17 Time: 17424
Distance: 265.00 Time: 17455
Distance: 259.83 Time: 17486
Distance: 264.83 Time: 17517
Distance: 255.17 Time: 17549
Distance: 256.03 Time: 17580
Distance: 259.66 Time: 17611
Distance: 256.72 Time: 17642
Distance: 255.52 Time: 17674
Distance: 256.90 Time: 17704
Distance: 255.69 Time: 17736
Distance: 256.72 Time: 17767
Distance: 255.69 Time: 17799
Distance: 256.72 Time: 17829
Distance: 256.72 Time: 17860
Distance: 260.17 Time: 17892
Distance: 257.07 Time: 17923
Distance: 256.03 Time: 17954
Distance: 261.38 Time: 17985
Distance: 268.97 Time: 18017
Distance: 265.69 Time: 18048
Distance: 260.69 Time: 18079
Distance: 266.03 Time: 18110
Distance: 265.00 Time: 18142
Distance: 261.72 Time: 18172
Distance: 260.69 Time: 18204
Distance: 265.86 Time: 18235
Distance: 265.00 Time: 18267
Distance: 270.52 Time: 18297
Distance: 260.86 Time: 18329
Distance: 269.48 Time: 18360
Distance: 261.72 Time: 18391
Distance: 256.55 Time: 18422
Distance: 261.72 Time: 18453
Distance: 260.69 Time: 18485
Distance: 270.52 Time: 18515
Distance: 256.72 Time: 18547
Distance: 261.72 Time: 18578
Distance: 256.55 Time: 18610
Distance: 261.72 Time: 18640
Distance: 256.03 Time: 18672
Distance: 257.07 Time: 18703
Distance: 260.52 Time: 18735
Distance: 252.93 Time: 18765
Distance: 252.93 Time: 18797
Distance: 257.07 Time: 18828
Distance: 257.07 Time: 18859
Distance: 260.34 Time: 18890
Distance: 261.21 Time: 18921
Distance: 255.52 Time: 18953
Distance: 252.59 Time: 18983
Distance: 255.52 Time: 19015
Distance: 252.59 Time: 19046
Distance: 255.52 Time: 19078
Distance: 252.07 Time: 19108
Distance: 255.17 Time: 19140
Distance: 260.69 Time: 19171
Distance: 255.52 Time: 19203
Distance: 256.55 Time: 19233
Distance: 259.83 Time: 19265
Distance: 260.69 Time: 19296
Distance: 263.79 Time: 19328
Distance: 259.66 Time: 19358
Distance: 260.86 Time: 19389
Distance: 255.52 Time: 19421
Distance: 260.86 Time: 19451
Distance: 255.69 Time: 19483
Distance: 256.72 Time: 19514
Distance: 255.69 Time: 19546
Distance: 256.55 Time: 19576
Distance: 255.69 Time: 19608
Distance: 265.52 Time: 19639
Distance: 260.34 Time: 19671
Distance: 265.52 Time: 19701
Distance: 256.03 Time: 19733
Distance: 261.38 Time: 19764
Distance: 256.38 Time: 19795
Distance: 270.17 Time: 19826
Distance: 265.00 Time: 19858
Distance: 265.00 Time: 19889
Distance: 266.03 Time: 19919
Distance: 265.17 Time: 19951
Distance: 261.90 Time: 19982
Distance: 264.83 Time: 20014
Distance: 266.03 Time: 20044
Distance: 260.86 Time: 20076
Distance: 261.90 Time: 20107
Distance: 264.83 Time: 20139
Distance: 261.90 Time: 20169
Distance: 256.72 Time: 20201
Distance: 261.90 Time: 20232
Distance: 260.86 Time: 20263
Distance: 261.90 Time: 20294
Distance: 257.76 Time: 20325
Distance: 260.86 Time: 20357
Distance: 257.41 Time: 20387
Distance: 256.21 Time: 20419
Distance: 257.24 Time: 20450
Distance: 252.07 Time: 20482
Distance: 253.10 Time: 20512
Distance: 256.38 Time: 20544
Distance: 256.90 Time: 20575
Distance: 251.55 Time: 20606
Distance: 252.59 Time: 20637
Distance: 260.17 Time: 20669
Distance: 252.59 Time: 20700
Distance: 251.38 Time: 20731
Distance: 252.41 Time: 20762
Distance: 255.52 Time: 20794
Distance: 256.55 Time: 20825
Distance: 252.07 Time: 20855
Distance: 259.83 Time: 20887
Distance: 260.86 Time: 20918
Distance: 259.48 Time: 20950
Distance: 256.55 Time: 20980
Distance: 259.66 Time: 21012
Distance: 256.72 Time: 21043
Distance: 255.34 Time: 21074
Distance: 256.21 Time: 21105
Distance: 255.00 Time: 21137
Distance: 260.69 Time: 21168
Distance: 255.52 Time: 21199
Distance: 256.72 Time: 21230
Distance: 255.69 Time: 21262
Distance: 256.55 Time: 21293
Distance: 256.72 Time: 21323
Distance: 255.69 Time: 21355
Distance: 265.52 Time: 21386
Distance: 255.86 Time: 21417
Distance: 257.07 Time: 21448
Distance: 256.21 Time: 21480
Distance: 257.24 Time: 21511
Distance: 260.34 Time: 21542
Distance: 257.24 Time: 21573
Distance: 269.14 Time: 21605
Distance: 261.90 Time: 21636
Distance: 260.86 Time: 21667
Distance: 266.03 Time: 21698
Distance: 273.62 Time: 21730
Distance: 261.90 Time: 21761
Distance: 265.00 Time: 21792
Distance: 270.52 Time: 21823
Distance: 269.48 Time: 21855
Distance: 273.62 Time: 21885
Distance: 261.90 Time: 21916
Distance: 260.86 Time: 21948
Distance: 257.76 Time: 21979
Distance: 260.69 Time: 22010
Distance: 261.90 Time: 22041
Distance: 260.86 Time: 22073
Distance: 257.76 Time: 22104
Distance: 260.69 Time: 22135
Distance: 261.90 Time: 22166
Distance: 265.00 Time: 22198
Distance: 253.10 Time: 22228
Distance: 256.03 Time: 22260
Distance: 257.24 Time: 22291
Distance: 253.10 Time: 22322
Distance: 251.55 Time: 22353
Distance: 252.59 Time: 22384
Distance: 251.55 Time: 22416
Distance: 261.38 Time: 22447
Distance: 251.55 Time: 22478
Distance: 252.59 Time: 22509
Distance: 251.55 Time: 22541
Distance: 256.55 Time: 22572
Distance: 255.69 Time: 22603
Distance: 252.07 Time: 22634
Distance: 251.03 Time: 22666
Distance: 256.21 Time: 22696
Distance: 255.34 Time: 22728
Distance: 256.38 Time: 22759
Distance: 252.24 Time: 22790
Distance: 256.72 Time: 22821
Distance: 256.38 Time: 22852
Distance: 255.17 Time: 22884
Distance: 260.86 Time: 22915
Distance: 259.83 Time: 22946
Distance: 260.86 Time: 22977
Distance: 255.69 Time: 23009
Distance: 256.72 Time: 23040
Distance: 255.69 Time: 23071
Distance: 256.72 Time: 23102
Distance: 255.69 Time: 23134
Distance: 256.72 Time: 23164
Distance: 256.03 Time: 23196
Distance: 261.55 Time: 23227
Distance: 256.21 Time: 23259
Distance: 265.69 Time: 23289
Distance: 260.34 Time: 23321
Distance: 260.34 Time: 23352
Distance: 270.17 Time: 23383
Distance: 269.14 Time: 23414
Distance: 261.90 Time: 23445
Distance: 265.00 Time: 23477
Distance: 265.86 Time: 23507
Distance: 260.86 Time: 23539
Distance: 266.03 Time: 23570
Distance: 269.48 Time: 23602
Distance: 266.03 Time: 23632
Distance: 273.79 Time: 23664
Distance: 270.52 Time: 23695
Distance: 265.00 Time: 23727
Distance: 257.76 Time: 23757
Distance: 261.03 Time: 23789
Distance: 261.90 Time: 23820
Distance: 261.90 Time: 23851
Distance: 256.72 Time: 23882
Distance: 261.90 Time: 23913
Distance: 256.21 Time: 23945
Distance: 266.03 Time: 23975
Distance: 252.07 Time: 24007
Distance: 253.10 Time: 24038
Distance: 252.07 Time: 24070
Distance: 257.24 Time: 24100
Distance: 251.72 Time: 24132
Distance: 252.76 Time: 24163
Distance: 255.69 Time: 24195
Distance: 256.72 Time: 24225
Distance: 255.69 Time: 24257
Distance: 252.59 Time: 24288
Distance: 259.83 Time: 24320
Distance: 255.69 Time: 24350
Distance: 256.72 Time: 24381
Distance: 251.03 Time: 24413
Distance: 252.07 Time: 24443
Distance: 255.17 Time: 24475
Distance: 256.21 Time: 24506
Distance: 259.83 Time: 24538
Distance: 252.07 Time: 24568
Distance: 263.97 Time: 24600
Distance: 256.38 Time: 24631
Distance: 255.17 Time: 24663
Distance: 260.69 Time: 24693
Distance: 259.66 Time: 24725
Distance: 256.38 Time: 24756
Distance: 259.83 Time: 24787
Distance: 260.86 Time: 24818
Distance: 256.72 Time: 24849
Distance: 255.69 Time: 24881
Distance: 256.72 Time: 24911
Distance: 255.69 Time: 24943
Distance: 256.72 Time: 24974
Distance: 264.48 Time: 25006
Distance: 257.24 Time: 25036
Distance: 260.34 Time: 25068
Distance: 261.38 Time: 25099
Distance: 256.21 Time: 25131
Distance: 274.31 Time: 25161
Distance: 269.14 Time: 25193
Distance: 270.34 Time: 25224
Distance: 277.76 Time: 25255
Distance: 266.03 Time: 25286
Distance: 260.86 Time: 25318
Distance: 277.76 Time: 25349
Distance: 270.52 Time: 25380
Distance: 273.79 Time: 25411
Distance: 266.03 Time: 25442
Distance: 265.00 Time: 25474
Distance: 274.66 Time: 25504
Distance: 256.72 Time: 25536
Distance: 261.90 Time: 25567
Distance: 261.03 Time: 25598
Distance: 262.07 Time: 25629
Distance: 256.72 Time: 25661
Distance: 261.90 Time: 25692
Distance: 260.86 Time: 25723
Distance: 257.24 Time: 25754
Distance: 256.21 Time: 25786
Distance: 261.72 Time: 25817
Distance: 253.10 Time: 25847
Distance: 252.24 Time: 25879
Distance: 256.90 Time: 25910
Distance: 251.55 Time: 25942
Distance: 252.76 Time: 25972
Distance: 255.69 Time: 26004
Distance: 252.59 Time: 26035
Distance: 251.55 Time: 26066
Distance: 252.59 Time: 26097
Distance: 260.00 Time: 26129
Distance: 252.24 Time: 26160
Distance: 251.21 Time: 26191
Distance: 260.86 Time: 26222
